state,sector,date,value,year
Johor,domestic,2003-01-01,560,2003
Johor,domestic,2004-01-01,610,2004
Johor,domestic,2005-01-01,621,2005
Johor,domestic,2006-01-01,644,2006
Johor,domestic,2007-01-01,664,2007
Johor,domestic,2008-01-01,682,2008
Johor,domestic,2009-01-01,713,2009
Johor,domestic,2010-01-01,730,2010
Johor,domestic,2011-01-01,738,2011
Johor,domestic,2012-01-01,769,2012
Johor,domestic,2013-01-01,797,2013
Johor,domestic,2014-01-01,823,2014
Johor,domestic,2015-01-01,811,2015
Johor,domestic,2016-01-01,773,2016
Johor,domestic,2017-01-01,785,2017
Johor,domestic,2018-01-01,809,2018
Johor,domestic,2019-01-01,835,2019
Johor,domestic,2020-01-01,867,2020
Johor,domestic,2021-01-01,879,2021
Johor,domestic,2022-01-01,867,2022
Johor,nondomestic,2003-01-01,246,2003
Johor,nondomestic,2004-01-01,225,2004
Johor,nondomestic,2005-01-01,235,2005
Johor,nondomestic,2006-01-01,255,2006
Johor,nondomestic,2007-01-01,289,2007
Johor,nondomestic,2008-01-01,300,2008
Johor,nondomestic,2009-01-01,285,2009
Johor,nondomestic,2010-01-01,306,2010
Johor,nondomestic,2011-01-01,323,2011
Johor,nondomestic,2012-01-01,341,2012
Johor,nondomestic,2013-01-01,366,2013
Johor,nondomestic,2014-01-01,391,2014
Johor,nondomestic,2015-01-01,448,2015
Johor,nondomestic,2016-01-01,513,2016
Johor,nondomestic,2017-01-01,535,2017
Johor,nondomestic,2018-01-01,576,2018
Johor,nondomestic,2019-01-01,599,2019
Johor,nondomestic,2020-01-01,526,2020
Johor,nondomestic,2021-01-01,505,2021
Johor,nondomestic,2022-01-01,536,2022
Kedah,domestic,2003-01-01,388,2003
Kedah,domestic,2004-01-01,412,2004
Kedah,domestic,2005-01-01,420,2005
Kedah,domestic,2006-01-01,434,2006
Kedah,domestic,2007-01-01,471,2007
Kedah,domestic,2008-01-01,470,2008
Kedah,domestic,2009-01-01,474,2009
Kedah,domestic,2010-01-01,444,2010
Kedah,domestic,2011-01-01,459,2011
Kedah,domestic,2012-01-01,474,2012
Kedah,domestic,2013-01-01,487,2013
Kedah,domestic,2014-01-01,510,2014
Kedah,domestic,2015-01-01,511,2015
Kedah,domestic,2016-01-01,525,2016
Kedah,domestic,2017-01-01,523,2017
Kedah,domestic,2018-01-01,544,2018
Kedah,domestic,2019-01-01,551,2019
Kedah,domestic,2020-01-01,574,2020
Kedah,domestic,2021-01-01,590,2021
Kedah,domestic,2022-01-01,560,2022
Kedah,nondomestic,2003-01-01,114,2003
Kedah,nondomestic,2004-01-01,134,2004
Kedah,nondomestic,2005-01-01,137,2005
Kedah,nondomestic,2006-01-01,132,2006
Kedah,nondomestic,2007-01-01,164,2007
Kedah,nondomestic,2008-01-01,167,2008
Kedah,nondomestic,2009-01-01,171,2009
Kedah,nondomestic,2010-01-01,213,2010
Kedah,nondomestic,2011-01-01,181,2011
Kedah,nondomestic,2012-01-01,165,2012
Kedah,nondomestic,2013-01-01,164,2013
Kedah,nondomestic,2014-01-01,187,2014
Kedah,nondomestic,2015-01-01,191,2015
Kedah,nondomestic,2016-01-01,200,2016
Kedah,nondomestic,2017-01-01,195,2017
Kedah,nondomestic,2018-01-01,201,2018
Kedah,nondomestic,2019-01-01,208,2019
Kedah,nondomestic,2020-01-01,193,2020
Kedah,nondomestic,2021-01-01,179,2021
Kedah,nondomestic,2022-01-01,217,2022
Kelantan,domestic,2003-01-01,94,2003
Kelantan,domestic,2004-01-01,102,2004
Kelantan,domestic,2005-01-01,111,2005
Kelantan,domestic,2006-01-01,116,2006
Kelantan,domestic,2007-01-01,120,2007
Kelantan,domestic,2008-01-01,122,2008
Kelantan,domestic,2009-01-01,124,2009
Kelantan,domestic,2010-01-01,124,2010
Kelantan,domestic,2011-01-01,123,2011
Kelantan,domestic,2012-01-01,130,2012
Kelantan,domestic,2013-01-01,140,2013
Kelantan,domestic,2014-01-01,154,2014
Kelantan,domestic,2015-01-01,159,2015
Kelantan,domestic,2016-01-01,163,2016
Kelantan,domestic,2017-01-01,162,2017
Kelantan,domestic,2018-01-01,164,2018
Kelantan,domestic,2019-01-01,163,2019
Kelantan,domestic,2020-01-01,170,2020
Kelantan,domestic,2021-01-01,171,2021
Kelantan,domestic,2022-01-01,162,2022
Kelantan,nondomestic,2003-01-01,35,2003
Kelantan,nondomestic,2004-01-01,40,2004
Kelantan,nondomestic,2005-01-01,46,2005
Kelantan,nondomestic,2006-01-01,48,2006
Kelantan,nondomestic,2007-01-01,49,2007
Kelantan,nondomestic,2008-01-01,51,2008
Kelantan,nondomestic,2009-01-01,53,2009
Kelantan,nondomestic,2010-01-01,55,2010
Kelantan,nondomestic,2011-01-01,56,2011
Kelantan,nondomestic,2012-01-01,58,2012
Kelantan,nondomestic,2013-01-01,62,2013
Kelantan,nondomestic,2014-01-01,71,2014
Kelantan,nondomestic,2015-01-01,73,2015
Kelantan,nondomestic,2016-01-01,76,2016
Kelantan,nondomestic,2017-01-01,79,2017
Kelantan,nondomestic,2018-01-01,85,2018
Kelantan,nondomestic,2019-01-01,85,2019
Kelantan,nondomestic,2020-01-01,75,2020
Kelantan,nondomestic,2021-01-01,68,2021
Kelantan,nondomestic,2022-01-01,77,2022
Melaka,domestic,2003-01-01,153,2003
Melaka,domestic,2004-01-01,144,2004
Melaka,domestic,2005-01-01,150,2005
Melaka,domestic,2006-01-01,155,2006
Melaka,domestic,2007-01-01,196,2007
Melaka,domestic,2008-01-01,202,2008
Melaka,domestic,2009-01-01,173,2009
Melaka,domestic,2010-01-01,177,2010
Melaka,domestic,2011-01-01,180,2011
Melaka,domestic,2012-01-01,187,2012
Melaka,domestic,2013-01-01,193,2013
Melaka,domestic,2014-01-01,196,2014
Melaka,domestic,2015-01-01,202,2015
Melaka,domestic,2016-01-01,206,2016
Melaka,domestic,2017-01-01,206,2017
Melaka,domestic,2018-01-01,209,2018
Melaka,domestic,2019-01-01,210,2019
Melaka,domestic,2020-01-01,215,2020
Melaka,domestic,2021-01-01,230,2021
Melaka,domestic,2022-01-01,228,2022
Melaka,nondomestic,2003-01-01,143,2003
Melaka,nondomestic,2004-01-01,122,2004
Melaka,nondomestic,2005-01-01,135,2005
Melaka,nondomestic,2006-01-01,132,2006
Melaka,nondomestic,2007-01-01,93,2007
Melaka,nondomestic,2008-01-01,98,2008
Melaka,nondomestic,2009-01-01,138,2009
Melaka,nondomestic,2010-01-01,150,2010
Melaka,nondomestic,2011-01-01,161,2011
Melaka,nondomestic,2012-01-01,175,2012
Melaka,nondomestic,2013-01-01,182,2013
Melaka,nondomestic,2014-01-01,180,2014
Melaka,nondomestic,2015-01-01,186,2015
Melaka,nondomestic,2016-01-01,199,2016
Melaka,nondomestic,2017-01-01,207,2017
Melaka,nondomestic,2018-01-01,207,2018
Melaka,nondomestic,2019-01-01,214,2019
Melaka,nondomestic,2020-01-01,189,2020
Melaka,nondomestic,2021-01-01,184,2021
Melaka,nondomestic,2022-01-01,190,2022
Negeri Sembilan,domestic,2003-01-01,184,2003
Negeri Sembilan,domestic,2004-01-01,183,2004
Negeri Sembilan,domestic,2005-01-01,181,2005
Negeri Sembilan,domestic,2006-01-01,190,2006
Negeri Sembilan,domestic,2007-01-01,231,2007
Negeri Sembilan,domestic,2008-01-01,237,2008
Negeri Sembilan,domestic,2009-01-01,213,2009
Negeri Sembilan,domestic,2010-01-01,229,2010
Negeri Sembilan,domestic,2011-01-01,239,2011
Negeri Sembilan,domestic,2012-01-01,247,2012
Negeri Sembilan,domestic,2013-01-01,255,2013
Negeri Sembilan,domestic,2014-01-01,259,2014
Negeri Sembilan,domestic,2015-01-01,276,2015
Negeri Sembilan,domestic,2016-01-01,287,2016
Negeri Sembilan,domestic,2017-01-01,288,2017
Negeri Sembilan,domestic,2018-01-01,293,2018
Negeri Sembilan,domestic,2019-01-01,294,2019
Negeri Sembilan,domestic,2020-01-01,318,2020
Negeri Sembilan,domestic,2021-01-01,327,2021
Negeri Sembilan,domestic,2022-01-01,307,2022
Negeri Sembilan,nondomestic,2003-01-01,122,2003
Negeri Sembilan,nondomestic,2004-01-01,112,2004
Negeri Sembilan,nondomestic,2005-01-01,121,2005
Negeri Sembilan,nondomestic,2006-01-01,108,2006
Negeri Sembilan,nondomestic,2007-01-01,87,2007
Negeri Sembilan,nondomestic,2008-01-01,92,2008
Negeri Sembilan,nondomestic,2009-01-01,122,2009
Negeri Sembilan,nondomestic,2010-01-01,180,2010
Negeri Sembilan,nondomestic,2011-01-01,172,2011
Negeri Sembilan,nondomestic,2012-01-01,192,2012
Negeri Sembilan,nondomestic,2013-01-01,213,2013
Negeri Sembilan,nondomestic,2014-01-01,217,2014
Negeri Sembilan,nondomestic,2015-01-01,217,2015
Negeri Sembilan,nondomestic,2016-01-01,233,2016
Negeri Sembilan,nondomestic,2017-01-01,231,2017
Negeri Sembilan,nondomestic,2018-01-01,238,2018
Negeri Sembilan,nondomestic,2019-01-01,244,2019
Negeri Sembilan,nondomestic,2020-01-01,222,2020
Negeri Sembilan,nondomestic,2021-01-01,222,2021
Negeri Sembilan,nondomestic,2022-01-01,231,2022
Pahang,domestic,2003-01-01,211,2003
Pahang,domestic,2004-01-01,214,2004
Pahang,domestic,2005-01-01,223,2005
Pahang,domestic,2006-01-01,233,2006
Pahang,domestic,2007-01-01,308,2007
Pahang,domestic,2008-01-01,320,2008
Pahang,domestic,2009-01-01,271,2009
Pahang,domestic,2010-01-01,264,2010
Pahang,domestic,2011-01-01,286,2011
Pahang,domestic,2012-01-01,287,2012
Pahang,domestic,2013-01-01,299,2013
Pahang,domestic,2014-01-01,303,2014
Pahang,domestic,2015-01-01,309,2015
Pahang,domestic,2016-01-01,342,2016
Pahang,domestic,2017-01-01,333,2017
Pahang,domestic,2018-01-01,333,2018
Pahang,domestic,2019-01-01,339,2019
Pahang,domestic,2020-01-01,367,2020
Pahang,domestic,2021-01-01,391,2021
Pahang,domestic,2022-01-01,385,2022
Pahang,nondomestic,2003-01-01,131,2003
Pahang,nondomestic,2004-01-01,136,2004
Pahang,nondomestic,2005-01-01,134,2005
Pahang,nondomestic,2006-01-01,142,2006
Pahang,nondomestic,2007-01-01,104,2007
Pahang,nondomestic,2008-01-01,111,2008
Pahang,nondomestic,2009-01-01,96,2009
Pahang,nondomestic,2010-01-01,168,2010
Pahang,nondomestic,2011-01-01,186,2011
Pahang,nondomestic,2012-01-01,209,2012
Pahang,nondomestic,2013-01-01,205,2013
Pahang,nondomestic,2014-01-01,216,2014
Pahang,nondomestic,2015-01-01,223,2015
Pahang,nondomestic,2016-01-01,238,2016
Pahang,nondomestic,2017-01-01,250,2017
Pahang,nondomestic,2018-01-01,256,2018
