state,strata,date,proportion,water_production,year
Melaka,overall,2003-01-01,99.7,375,2003
Melaka,overall,2004-01-01,99.6,399,2004
Melaka,overall,2005-01-01,99.8,415,2005
Melaka,overall,2006-01-01,100,393,2006
Melaka,overall,2007-01-01,100,411,2007
Melaka,overall,2008-01-01,100,428,2008
Melaka,overall,2009-01-01,100,443,2009
Melaka,overall,2010-01-01,100,443,2010
Melaka,overall,2011-01-01,100,455,2011
Melaka,overall,2012-01-01,100,478,2012
Melaka,overall,2013-01-01,100,487,2013
Melaka,overall,2014-01-01,100,532,2014
Melaka,overall,2015-01-01,100,519,2015
Melaka,overall,2016-01-01,100,510,2016
Melaka,overall,2017-01-01,100,513,2017
Melaka,overall,2018-01-01,100,528,2018
Melaka,overall,2019-01-01,100,538,2019
Melaka,overall,2020-01-01,100,578,2020
Melaka,overall,2021-01-01,100,603,2021
Melaka,overall,2022-01-01,100,649,2022
Negeri Sembilan,overall,2000-01-01,99,490,2000
Negeri Sembilan,overall,2001-01-01,99.5,520,2001
Negeri Sembilan,overall,2002-01-01,99.5,620,2002
Negeri Sembilan,overall,2003-01-01,99.5,634,2003
Negeri Sembilan,overall,2004-01-01,99.6,649,2004
Negeri Sembilan,overall,2005-01-01,99.8,642,2005
Negeri Sembilan,overall,2006-01-01,100,746,2006
Negeri Sembilan,overall,2007-01-01,99.8,690,2007
Negeri Sembilan,overall,2008-01-01,99.8,665,2008
Negeri Sembilan,overall,2009-01-01,99.8,659,2009
Negeri Sembilan,overall,2010-01-01,99.8,724,2010
Negeri Sembilan,overall,2011-01-01,99.9,742,2011
Negeri Sembilan,overall,2012-01-01,99.9,735,2012
Negeri Sembilan,overall,2013-01-01,99.9,736,2013
Negeri Sembilan,overall,2014-01-01,99.9,744,2014
Negeri Sembilan,overall,2015-01-01,99.9,752,2015
Negeri Sembilan,overall,2016-01-01,99.9,779,2016
Negeri Sembilan,overall,2017-01-01,99.9,771,2017
Negeri Sembilan,overall,2018-01-01,99.9,780,2018
Negeri Sembilan,overall,2019-01-01,99.9,784,2019
Negeri Sembilan,overall,2020-01-01,99.9,795,2020
Negeri Sembilan,overall,2021-01-01,99.9,811,2021
Negeri Sembilan,overall,2022-01-01,99.9,848,2022
Pahang,overall,2000-01-01,93,610,2000
Pahang,overall,2001-01-01,92.8,927,2001
Pahang,overall,2002-01-01,92.7,632,2002
Pahang,overall,2003-01-01,92.8,627,2003
Pahang,overall,2004-01-01,94.5,687,2004
Pahang,overall,2005-01-01,95.5,709,2005
Pahang,overall,2006-01-01,93.5,701,2006
Pahang,overall,2007-01-01,93,890,2007
Pahang,overall,2008-01-01,93,915,2008
Pahang,overall,2009-01-01,97.8,915,2009
Pahang,overall,2010-01-01,98,966,2010
Pahang,overall,2011-01-01,98,1079,2011
Pahang,overall,2012-01-01,98,1089,2012
Pahang,overall,2013-01-01,98,1065,2013
Pahang,overall,2014-01-01,98,1108,2014
Pahang,overall,2015-01-01,98,1129,2015
Pahang,overall,2016-01-01,98,1111,2016
Pahang,overall,2017-01-01,98,1109,2017
Pahang,overall,2018-01-01,98,1158,2018
Pahang,overall,2019-01-01,98,1194,2019
Pahang,overall,2020-01-01,98,1269,2020
Pahang,overall,2021-01-01,98,1281,2021
Pahang,overall,2022-01-01,98,1337,2022
Perak,overall,2000-01-01,99,812,2000
Perak,overall,2001-01-01,99.6,865,2001
Perak,overall,2002-01-01,99.5,830,2002
