state,sector,date,value
Pulau Pinang,domestic,1/1/21,547
Pulau Pinang,domestic,1/1/22,534
Sabah,domestic,1/1/03,156
Sabah,domestic,1/1/04,207
Sabah,domestic,1/1/05,254
Sabah,domestic,1/1/06,294
Sabah,domestic,1/1/07,294
Sabah,domestic,1/1/08,252
Sabah,domestic,1/1/09,259
Sabah,domestic,1/1/10,222
Sabah,domestic,1/1/11,279
Sabah,domestic,1/1/12,305
Sabah,domestic,1/1/13,314
Sabah,domestic,1/1/14,330
Sabah,domestic,1/1/15,315
Sabah,domestic,1/1/16,338
Sabah,domestic,1/1/17,323
Sabah,domestic,1/1/18,341
Sabah,domestic,1/1/19,366
Sabah,domestic,1/1/20,313
Sabah,domestic,1/1/21,425
Sabah,domestic,1/1/22,394
Sarawak,domestic,1/1/03,289
Sarawak,domestic,1/1/04,336
Sarawak,domestic,1/1/05,327
Sarawak,domestic,1/1/06,352
Sarawak,domestic,1/1/07,400
Sarawak,domestic,1/1/08,409
Sarawak,domestic,1/1/09,441
Sarawak,domestic,1/1/10,449
Sarawak,domestic,1/1/11,431
Sarawak,domestic,1/1/12,432
Sarawak,domestic,1/1/13,446
Sarawak,domestic,1/1/14,469
Sarawak,domestic,1/1/15,478
Sarawak,domestic,1/1/16,463
Sarawak,domestic,1/1/17,476
Sarawak,domestic,1/1/18,487
Sarawak,domestic,1/1/19,499
Sarawak,domestic,1/1/20,548
Sarawak,domestic,1/1/21,579
Sarawak,domestic,1/1/22,602
Selangor,domestic,1/1/03,1312
Selangor,domestic,1/1/04,1474
Selangor,domestic,1/1/05,1579
Selangor,domestic,1/1/06,1460
Selangor,domestic,1/1/07,1520
Selangor,domestic,1/1/08,1562
Selangor,domestic,1/1/09,1621
Selangor,domestic,1/1/10,1655
Selangor,domestic,1/1/11,1653
Selangor,domestic,1/1/12,1686
Selangor,domestic,1/1/13,1735
Selangor,domestic,1/1/14,1779
Selangor,domestic,1/1/15,1862
Selangor,domestic,1/1/16,1883
Selangor,domestic,1/1/17,1870
Selangor,domestic,1/1/18,1916
Selangor,domestic,1/1/19,2012
Selangor,domestic,1/1/20,2186
Selangor,domestic,1/1/21,2294
Selangor,domestic,1/1/22,2230
Terengganu,domestic,1/1/03,156
Terengganu,domestic,1/1/04,162
Terengganu,domestic,1/1/05,172
Terengganu,domestic,1/1/06,185
Terengganu,domestic,1/1/07,187
Terengganu,domestic,1/1/08,190
Terengganu,domestic,1/1/09,198
Terengganu,domestic,1/1/10,206
Terengganu,domestic,1/1/11,208
Terengganu,domestic,1/1/12,216
Terengganu,domestic,1/1/13,230
Terengganu,domestic,1/1/14,241
Terengganu,domestic,1/1/15,246
Terengganu,domestic,1/1/16,264
Terengganu,domestic,1/1/17,256
Terengganu,domestic,1/1/18,255
Terengganu,domestic,1/1/19,266
Terengganu,domestic,1/1/20,286
Terengganu,domestic,1/1/21,302
Terengganu,domestic,1/1/22,286
W.P. Labuan,domestic,1/1/03,16
W.P. Labuan,domestic,1/1/04,16
W.P. Labuan,domestic,1/1/05,18
W.P. Labuan,domestic,1/1/06,17
W.P. Labuan,domestic,1/1/07,18
W.P. Labuan,domestic,1/1/08,19
W.P. Labuan,domestic,1/1/09,18
W.P. Labuan,domestic,1/1/10,19
W.P. Labuan,domestic,1/1/11,21
W.P. Labuan,domestic,1/1/12,16
W.P. Labuan,domestic,1/1/13,16
W.P. Labuan,domestic,1/1/14,17
W.P. Labuan,domestic,1/1/15,17
W.P. Labuan,domestic,1/1/16,17
W.P. Labuan,domestic,1/1/17,17
W.P. Labuan,domestic,1/1/18,18
W.P. Labuan,domestic,1/1/19,18
W.P. Labuan,domestic,1/1/20,17
W.P. Labuan,domestic,1/1/21,20
W.P. Labuan,domestic,1/1/22,19
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
